"ServerName","win_rate","avg_speed","sd_speed","location_entropy","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","performance_lm","performance_rf","performance_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"adam walton",0.602941176470588,-0.817140397392611,-1.12263367520836,-0.674282530783892,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.0218949134080745,0.0445702380963212,-0.0773490569198166,0.573540974942325,0.579314401565881,0.535708785057068,-0.303619766774028
"adrian mannarino",0.571830985915493,-0.986454494129028,1.1553837189354,0.376022523267789,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,-0.0835196835384159,-0.170351879594069,-0.062428710500796,0.573788590646558,0.566455684118899,0.583828330039978,-0.216549067292731
"alejandro davidovich fokina",0.6075,-0.28925856629378,0.240538098036859,1.99677986392338,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.0775604250603063,0.0491133368840301,0.0162390427139151,0.584014161815119,0.57695467176538,0.556100487709045,0.0292640138887318
"alejandro tabilo",0.690265486725664,-0.526504815300567,-0.292571060117556,0.508536291270408,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.309721835597476,0.420669996243454,0.492754334038878,0.570738437103476,0.579634897771023,0.575996994972229,-0.13978317248414
"aleksandar kovacevic",0.623188405797101,0.850105527052989,-0.771220613942284,-2.46396274974759,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,0.233266636757366,0.197622414671138,0.342563988454628,0.610685991340778,0.58975797250681,0.627494990825653,0.12205251541305
"aleksandar vukic",0.560975609756098,-0.151495877901731,0.764097092583717,-1.63250043370661,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,-0.087474789975761,-0.187148935657592,-0.256675130737034,0.582453184792224,0.571133086260794,0.543468058109283,-0.111066367388791
"alex de minaur",0.620560747663551,0.125007272532135,-0.552400050352289,1.22499185287914,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.124434350356637,0.150766905703232,0.0136169936468169,0.584594460385203,0.584152071923559,0.536942362785339,0.0967800745961475
"alex michelsen",0.525,-0.0760972324930956,-0.310756144955312,1.60213906275198,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,-0.21851321094712,-0.33322491934968,-0.0817298865147876,0.580351743371049,0.572397575667453,0.644297778606415,0.129199494442465
"alex molcan",0.609022556390977,-0.679052963423448,0.280388146226978,0.0416327694059211,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.0180360744292318,-0.00673217728853036,0.00666988999844996,0.567099562053574,0.567133597610989,0.551212787628174,-0.215379768456257
"alexander bublik",0.652,1.30025822328915,2.70954597141783,0.185759668980413,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.31687816373671,0.298179857153559,0.444586096376512,0.606794544033283,0.586158096922147,0.616123378276825,0.366018058062697
"alexander shevchenko",0.486486486486487,-0.566747824064546,0.25321842494308,-0.484695974921188,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.357234731653478,-0.407706523257651,-0.456104664240051,0.578509967421432,0.586648024673485,0.591303110122681,-0.218495702219634
"alexander zverev",0.639627659574468,2.37035735154034,-1.03360105245788,-0.346676156947829,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.392807337143787,0.359295736617861,0.201753917685933,0.637689012857709,0.604127776478012,0.56397932767868,0.63911863982623
"alexandre muller",0.585492227979275,-1.20243998246809,0.893795212970505,0.689443926267848,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0661578384155124,-0.0966021642864765,-0.0932036266528864,0.566120584875811,0.568853979999846,0.55575704574585,-0.322786321515486
"alexei popyrin",0.634387351778656,0.764920322254681,0.496392466584121,-0.184240185581949,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.260601284945359,0.348522357669696,0.427881862536803,0.607823783122014,0.605966111188838,0.636158883571625,0.186410063111052
"andreas seppi",0.619718309859155,-0.694479955073553,-0.118505632974928,-0.633788899739193,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,0.0772823266396921,0.135487115618416,0.192926147752407,0.573025751117929,0.582314213431009,0.589508533477783,-0.200430750224515
"andrey rublev",0.647122692725299,0.36676446692022,0.136249590622216,-0.37805521423511,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.229615126650405,0.39612176358128,0.405306856091156,0.588349111042031,0.604871058586285,0.611742079257965,0.0583235470106969
"andy murray",0.572815533980582,0.143802325957711,0.505403149905584,-0.209534258338675,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0421798412596061,-0.0336868735294254,-0.00387412048905484,0.583711553534991,0.587312314798397,0.599218904972076,0.00531090020923292
"arthur cazaux",0.558139534883721,0.173409365651212,1.40391655684445,-0.240647428300226,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0377752009752074,-0.123839375757681,-0.0358680575624579,0.597973954447728,0.583015558385125,0.610734641551971,0.0117603807926982
"arthur fils",0.6113074204947,0.458724850303262,-0.707483312954999,0.345959370936257,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.13840294386074,0.179429989025755,0.144655848660399,0.596511454422196,0.594907464994514,0.587530910968781,0.133788260409425
"arthur rinderknech",0.618506493506494,0.956515728470962,0.164699202501966,0.229940246148117,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.189202531003078,0.336233741360549,0.277390029367823,0.603354344488498,0.614743379119749,0.615418493747711,0.269722974036903
"aslan karatsev",0.605633802816901,0.102805945108797,0.193974855796461,1.25727228185707,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.0704539862014573,0.0574172301560255,0.0304839442708661,0.583824417748719,0.579521128346622,0.562812268733978,0.0925483483833481
"ben shelton",0.625246548323471,0.915774372985706,0.798526527784679,0.711616706179894,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.243524739957515,0.229928716741428,0.288720749306332,0.611527817129177,0.593456961617311,0.609166264533997,0.290491767235448
"benjamin bonzi",0.623306233062331,0.546639727733777,-0.255492373124977,1.078702526618,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.195257469067691,0.253378334692818,0.207252801874854,0.600648516611043,0.598458424244745,0.588557124137878,0.20867414149002
"benoit paire",0.65,-0.34886292029492,1.02519709605139,-0.405166723327279,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.181790243047935,0.187623037872882,0.215524591278603,0.573281385591412,0.570097713243199,0.553307175636292,-0.150194478318428
"bernabe zapata miralles",0.523148148148148,-1.25172108856077,0.603543126395064,0.508722127796756,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.320001144934382,-0.337407652274457,-0.414997266943729,0.555486272413204,0.572988076134336,0.551413834095001,-0.349226803247288
"borna coric",0.555555555555556,0.141666320731409,0.336559470974516,-2.37378608639018,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.11948121644044,-0.197624002595736,-0.163918199474819,0.578931790735231,0.573139643602028,0.577685058116913,-0.14149414270713
"borna gojo",0.611428571428571,1.11137159249813,0.93587761213966,-0.561173013946956,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.164182788512264,0.26590358706063,0.245743233611533,0.603139772856028,0.608442813362262,0.616325557231903,0.261011167761539
"botic van de zandschulp",0.630368098159509,0.427908805499283,0.142363409737789,0.122945312417529,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.178177859276919,0.250681411989584,0.267697469104882,0.589876414924624,0.593270185925104,0.595924377441406,0.109824134121955
"brandon nakashima",0.617117117117117,0.838946553012264,-0.671697377875339,-0.142033749935018,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.187430260886016,0.305458384452714,0.30214812398196,0.604132488819482,0.6108343558248,0.624470710754395,0.210641145919614
"cameron norrie",0.629080118694362,-0.49704192840619,0.268423890772591,0.0216420774775936,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.111696753834092,0.121906542405031,0.187564604887632,0.573654849802681,0.573860700059077,0.574778437614441,-0.164161843021959
"carlos alcaraz",0.581293706293706,0.00175508244024033,0.173865599948339,1.48898213045479,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0201555566208804,-0.0696716384023749,-0.156557538419192,0.581892407071523,0.575926847847949,0.54352080821991,0.0790141885432832
"carlos taberner",0.551282051282051,0.780278231773606,-1.80113523542116,-1.56809855718934,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0468578222604661,-0.0296057701389166,0.022445648364142,0.601726987894444,0.602480290479726,0.637108147144318,0.0973706164209965
"casper ruud",0.626806833114323,0.0247146930029405,0.0096367945096018,0.650140512786834,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.15234503599137,0.119651835042963,0.217290423978963,0.586307623101087,0.575039084695937,0.586499810218811,0.0289843540484256
"christopher eubanks",0.603448275862069,-0.0380098993304727,-0.504633665803649,-1.36128939512242,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.0797243159825758,-0.00751639667641204,0.0405854912581281,0.58819938806313,0.570770213594189,0.568786859512329,-0.124997199084643
"constant lestienne",0.491666666666667,-1.79856203879722,0.467082699606825,-0.954549488618148,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,-0.475188913794109,-0.427117992217911,-0.526399083007621,0.543059325464509,0.58009701540307,0.563860535621643,-0.540976876653824
"corentin moutet",0.533505154639175,-1.65884643353332,0.70892009125857,0.941227954686171,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.315761402943574,-0.415485074275906,-0.427495654907837,0.547341296118457,0.553706883302747,0.53323620557785,-0.437597954773104
"cristian garin",0.561475409836066,-0.470423342181102,1.22270508782377,1.16511795782291,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,-0.076922015731595,-0.303443504865067,-0.138346097757594,0.584764222038259,0.552482944561701,0.576669454574585,-0.0142086927217318
"daniel altmaier",0.579937304075235,-0.387530853048436,-0.440864212826703,-0.60460402163873,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0275313228115233,0.00707696980001282,-0.16107034501262,0.58117683809044,0.588927471199299,0.544139325618744,-0.174833845481243
"daniel evans",0.617771509167842,-0.0868408635124017,-0.4453641012063,0.754567622734503,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.114167426595024,0.125965307678808,0.253137524861225,0.584403484994849,0.582128012607493,0.6095050573349,0.00381870762784107
"daniil medvedev",0.66633064516129,0.824037684376221,-0.278846717959544,-1.37221759696348,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.330390474269257,0.541754892859097,0.592665348008941,0.597522573630966,0.61484738579812,0.638357222080231,0.123240291873534
"david goffin",0.611872146118721,-1.52060674506309,0.0314440839880884,-0.216741814024224,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,-0.0383662750801679,0.0813465856351501,0.0709191386455557,0.549815214134031,0.579081255641127,0.565606653690338,-0.410861635429226
"denis kudla",0.585585585585586,-0.103947182598987,0.0100265035409102,-1.48944877918788,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0194191793753015,-0.127342381602753,-0.0530289068729287,0.578250499731693,0.563950318136439,0.567137062549591,-0.15269788100093
"denis shapovalov",0.661849710982659,0.781266464425426,-0.508410862359894,-0.404351519488314,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.327915473107424,0.525990847158626,0.523510999769857,0.600879059765054,0.615387603712598,0.624856948852539,0.176263338442361
"diego schwartzman",0.590163934426229,-1.54490106891542,0.0694650384768714,1.60629585699795,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0902223370438891,-0.197728031122276,-0.210259860181716,0.555658604459962,0.549778324592288,0.515632033348083,-0.359765218166454
"dominic stricker",0.62962962962963,0.661754532040789,-0.556090222383606,-0.608888110227779,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.193620648067157,0.379176338000817,0.347303350185473,0.594571525438371,0.614002520880046,0.619775235652924,0.127930253821502
"dominic thiem",0.554794520547945,0.13868325835847,0.171952290765826,-1.34163874558335,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0646244762497187,-0.142929896572577,-0.114986130853637,0.593946356008955,0.582265723475158,0.592778503894806,-0.0726375344447319
"dominik koepfer",0.518796992481203,-0.976808879932264,-1.72422425581902,1.38886340497247,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,-0.22443462601318,-0.310700068540442,-0.334937331901407,0.584346130663304,0.580128795709736,0.580486238002777,-0.145349146350863
"dusan lajovic",0.591463414634146,-0.885770267828957,0.281071413278155,0.712727640862039,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,-0.0344564940460081,-0.0963061846673756,-0.034042953285538,0.56906988032616,0.564872749118524,0.564293503761292,-0.164726229270982
"egor gerasimov",0.525423728813559,1.08927833008018,-1.06842228704469,-2.54660046906594,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0990268139422292,-0.0845227680335664,-0.0941803255118215,0.611196282142172,0.611275088141873,0.640133082866669,0.120521092140107
"emil ruusuvuori",0.546511627906977,0.904073697316739,0.196292888784697,0.794627706067002,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0633669648388558,0.00340726509549986,-0.063621860057385,0.601674827621872,0.610896750090036,0.619169592857361,0.292719511908013
"fabian marozsan",0.601374570446735,-0.365144848203673,-0.861580506708966,0.679423008613653,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,0.00833598616741811,-0.022574092630108,0.0508888070760333,0.571397473152189,0.569797874880303,0.574661672115326,-0.0166093748349524
"fabio fognini",0.559183673469388,-0.68925305677324,-0.386016297631305,0.958447210172962,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.126608736529778,-0.220723821633097,-0.201806096541901,0.573827960637605,0.567054763867486,0.561715543270111,-0.156397935054543
"facundo bagnis",0.586021505376344,0.0262306360490487,-0.900429918052119,0.921327427732931,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.00144246555266098,-0.00907657292994861,-0.0267320653505772,0.582558563250843,0.582279686638215,0.574057757854462,0.0477399751957753
"facundo diaz acosta",0.616279069767442,-0.665327503816937,-1.48002342399932,-0.34528611682849,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.0762788075674591,-0.0304027524538894,-0.0113837118377594,0.575836110334356,0.558511321410434,0.535812973976135,-0.237550699794026
"federico coria",0.528795811518325,-0.384247881539719,0.591932733471414,0.406082494564401,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.195343854187409,-0.275099889835129,-0.305678527697868,0.583015000483518,0.578990124140048,0.574778437614441,-0.105617096486919
"federico delbonis",0.476190476190476,-0.430163451579768,-0.707182986218108,-0.996640994666497,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.38346356106794,-0.539192558216224,-0.601929647817964,0.580854462571027,0.572887938922774,0.564029097557068,-0.213627760509751
"feliciano lopez",0.622222222222222,1.40110295329786,0.956648015670431,-0.353989496855906,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.21509599032245,0.321279629102844,0.298831241889327,0.606800984555945,0.609882113183186,0.616325557231903,0.358685635678864
"filip krajinovic",0.585365853658537,0.112974316233133,-0.605503275129347,-1.27513946051785,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.00205088223054194,-0.0227994255539912,-0.0572348863944474,0.5829853313718,0.580561004622048,0.566241562366486,-0.0755709544803616
"flavio cobolli",0.573099415204678,-0.403746897762517,1.02680558216601,0.534206035272843,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,-0.0661281979108134,-0.145136344213898,-0.023267239909729,0.577199970330641,0.569570782002668,0.593261957168579,-0.0375673082759885
"frances tiafoe",0.631040892193309,0.954275810399773,0.0031878328171977,0.421234602921328,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.230534394520333,0.353261528252014,0.323952172473231,0.602956678033724,0.608969732715932,0.611095309257507,0.281997350721191
"francisco cerundolo",0.58974358974359,-0.76358074191954,-0.364760970532023,0.867063524818665,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0252035376575351,-0.089387805424336,0.00145372277092091,0.573024256275105,0.567122292820986,0.57688844203949,-0.18403784578299
"gabriel diallo",0.616883116883117,1.36946907255766,0.0171112514618907,0.9618924957797,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.220750580521298,0.223508946371745,0.264891994695267,0.61304850457429,0.598087552755237,0.614125192165375,0.438432692068161
"gael monfils",0.661577608142494,0.382548079142019,0.491340660481156,-0.335623208266571,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.287325007008851,0.400491791453295,0.458957301819111,0.590515424140096,0.595808707675528,0.606743335723877,0.0657482959633687
"gianluca mager",0.655555555555556,0.610868203452245,2.8152495046721,-0.183337268235414,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,0.320508998117089,0.383002474539027,0.559017492294384,0.604566815566186,0.597116800672063,0.643901407718658,0.207005032542674
"grigor dimitrov",0.641929499072356,1.1501769302309,-0.261815049966682,0.483743134416911,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.275767260416614,0.41249119146632,0.448933209869113,0.605048723187874,0.610951813273351,0.631561577320099,0.342799547900235
"guido pella",0.570621468926554,-0.0682207593990054,-0.568860099715521,-0.900683863580524,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0371149972947351,-0.146195465249101,-0.23326108261317,0.586995212549084,0.57107548964402,0.536582946777344,-0.102610271758148
"hamad medjedovic",0.649350649350649,1.30649286758177,-0.481824652904115,0.511411325280903,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.329584571425175,0.48881474876856,0.396618620624496,0.612481775253867,0.617964642092994,0.606112658977509,0.389815444359596
"henri laaksonen",0.55688622754491,0.0810651664665737,1.88288319944412,0.309753990628035,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.0450655408226438,-0.208392132771115,-0.150048474629368,0.59718860415592,0.57054637784743,0.579783916473389,0.0222674421548456
"holger rune",0.5311004784689,-0.114476810043094,-0.665353961653334,0.89661571011955,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.173945804803725,-0.224373821584968,-0.272578795922872,0.58654757238037,0.58542339730408,0.581014752388,0.00543180646776907
"hubert hurkacz",0.619377162629758,0.670084540135097,0.562908655834678,-1.01698899835483,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.15801464425813,0.249546840081369,0.307210344498549,0.594426761727257,0.600505413629907,0.622736096382141,0.102770239117891
"hugo dellien",0.553191489361702,-0.656879650491941,-0.483688911447743,0.802955405552226,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.168184940448642,-0.121284083641535,-0.267562030916853,0.568317015974506,0.586755625843395,0.551318883895874,-0.157550844946847
"hugo gaston",0.453333333333333,-1.77195896554247,1.8141552995037,1.27729046766096,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.55657505118756,-0.700176655384193,-0.747232476423041,0.556038937046537,0.562955828054862,0.554607391357422,-0.447567072190816
"ilya ivashka",0.588983050847458,0.575167233014905,0.252919590864713,1.0129969620358,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.0639058070719674,0.0438376671243016,0.0740384564650738,0.596988956321309,0.588614438391994,0.598758578300476,0.212475229121997
"jack draper",0.65018315018315,0.709968259337917,-0.363407866416718,-0.508293837223864,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.276550350399877,0.508308179301821,0.46808935237155,0.597879607056481,0.620472729034426,0.625418484210968,0.148650104389161
"jakub mensik",0.576923076923077,1.63768984300252,-2.50211665065782,-0.557019399011928,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.100637153434639,0.0769763196179668,-0.0468890473437933,0.617361541000888,0.601967814962309,0.581104636192322,0.413302401425211
"james duckworth",0.555555555555556,-0.724897921997027,2.36905572502121,0.104350597659747,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,-0.150160332790048,-0.152499043117071,-0.234030151976023,0.570915004059079,0.58024550893051,0.557595312595367,-0.159357128662637
"jannik sinner",0.625,0.981679297553207,-0.618162549561075,0.557225888141147,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.234643393343192,0.340766609095585,0.336644101554906,0.609427288997322,0.611077005906572,0.623245596885681,0.299097762399312
"jason kubler",0.601190476190476,-0.390475322402254,0.705519725627919,-0.259024870620543,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.0146843004555339,0.0278574796709132,0.0634486714649539,0.573220825040811,0.577863557006228,0.578519999980927,-0.152341523891201
"jaume munar",0.513274336283186,-0.252934508950654,0.357042731736361,0.919542242636026,-0.0773823232534137,-0.175155308160464,-2.0882592591988,2.37612878942874,-0.269366419320868,-0.377292304112471,-0.452192579115448,0.577538861518766,0.573367745049357,0.554671347141266,0.032018362556267
"jenson brooksby",0.56019656019656,-1.08688659810106,-0.802794199451083,0.768978004028198,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.144958581981235,-0.18647384384773,-0.139889117053879,0.568128041581577,0.57176489816548,0.578029632568359,-0.284040050905591
"jeremy chardy",0.546875,1.91534484928227,-1.50643470009326,-0.313643546574058,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,0.0323525711409614,-0.0491939414883613,-0.0638960766320825,0.626362749402718,0.602368482711801,0.618578910827637,0.509933663370811
"jiri lehecka",0.519230769230769,0.571753655628812,0.951647740455689,1.54822201924663,-0.0773823232534137,-0.175155308160464,0.476000272317373,-0.41833253335013,-0.164257697247288,-0.203818382830863,-0.26146603000922,0.599683483765922,0.596666942371598,0.600927233695984,0.247642023406746
